user,file_name,num_frames,num_landmarks,num_coordinates
0ca7288b551d6863ade0cca0248bbcbe6e600fe0,0ca7288b551d6863ade0cca0248bbcbe6e600fe0_inquietanti_04504f6d-bd2b-44d5-842f-e9e7b2d95d6e.jpg_7_3_2_2.npy,56,478,3
0ca7288b551d6863ade0cca0248bbcbe6e600fe0,0ca7288b551d6863ade0cca0248bbcbe6e600fe0_inquietanti_07fbbb3c-26fa-41f2-a461-9a48601fc48a.jpg_8_3_2_3.npy,51,478,3
0ca7288b551d6863ade0cca0248bbcbe6e600fe0,0ca7288b551d6863ade0cca0248bbcbe6e600fe0_inquietanti_14aeb0ec-d858-46a3-b70c-5c4affefdce5.jpg_7_3_1_1.npy,60,478,3
0ca7288b551d6863ade0cca0248bbcbe6e600fe0,0ca7288b551d6863ade0cca0248bbcbe6e600fe0_inquietanti_2ab300cc-0efa-4682-8d2d-a2cb20dad16d.jpg_9_1_2_1.npy,42,478,3
0ca7288b551d6863ade0cca0248bbcbe6e600fe0,0ca7288b551d6863ade0cca0248bbcbe6e600fe0_inquietanti_2c814275-a3cd-4629-ba63-8bec1aa3a39a.jpg_7_2_2_3.npy,49,478,3
0ca7288b551d6863ade0cca0248bbcbe6e600fe0,0ca7288b551d6863ade0cca0248bbcbe6e600fe0_inquietanti_332df050-53fa-4fde-bb43-3ae63a208ac9.jpg_7_3_2_1.npy,62,478,3
0ca7288b551d6863ade0cca0248bbcbe6e600fe0,0ca7288b551d6863ade0cca0248bbcbe6e600fe0_inquietanti_3ee3d17f-278c-475d-866b-1dd6af54a3ae.jpg_5_4_3_2.npy,60,478,3
0ca7288b551d6863ade0cca0248bbcbe6e600fe0,0ca7288b551d6863ade0cca0248bbcbe6e600fe0_inquietanti_48881c9e-c440-4050-a886-c718bc67939b.jpg_6_4_4_3.npy,67,478,3
0ca7288b551d6863ade0cca0248bbcbe6e600fe0,0ca7288b551d6863ade0cca0248bbcbe6e600fe0_inquietanti_4a2546df-00a4-4b5c-8749-4e54b19037f7.jpg_4_4_3_2.npy,106,478,3
0ca7288b551d6863ade0cca0248bbcbe6e600fe0,0ca7288b551d6863ade0cca0248bbcbe6e600fe0_inquietanti_57405d79-0a3e-43a4-837e-076851a4edb3.jpg_5_5_1_1.npy,62,478,3
0ca7288b551d6863ade0cca0248bbcbe6e600fe0,0ca7288b551d6863ade0cca0248bbcbe6e600fe0_inquietanti_5d6dabd6-d45b-4f58-8138-50977c6c904e.jpg_6_3_4_3.npy,48,478,3
0ca7288b551d6863ade0cca0248bbcbe6e600fe0,0ca7288b551d6863ade0cca0248bbcbe6e600fe0_inquietanti_67b31071-9cff-47a7-8b62-02130337c660.jpg_5_5_3_2.npy,47,478,3
0ca7288b551d6863ade0cca0248bbcbe6e600fe0,0ca7288b551d6863ade0cca0248bbcbe6e600fe0_inquietanti_75c9ea0e-3ecc-48aa-b9b0-2438397b9db6.jpg_7_3_1_1.npy,81,478,3
